message,label
You have won a free vacation to Hawaii! Reply YES to claim.,spam
Your account will be locked in 24 hours. Act now.,spam
"Hey, are you coming to the meeting later?",ham
Don't forget to pick up milk on your way home.,ham
Special discount! 50% off on all shoes today only.,spam
Please review the attached document and respond.,ham
Your package is out for delivery. Track it here.,ham
Congratulations! You've been selected for a $500 gift card.,spam
Are you available for a quick call this afternoon?,ham
"Buy one pizza, get one free. Limited time offer.",spam
Just checking in to see how you're doing.,ham
Alert: Suspicious login detected on your account.,spam
Would you like to join us for dinner tonight?,ham
Final reminder: your bill is overdue.,spam
Flash sale ends in 2 hours. Shop now!,spam
Hi! Let's catch up this weekend.,ham
Get cheap meds without a prescription. Visit our site.,spam
Your order has shipped. Estimated arrival: tomorrow.,ham
Don't miss your chance to win big prizes.,spam
I'll be late to the office today.,ham
Update: The project deadline is next Friday.,ham
Click here to reset your password.,spam
Hope you have a great day!,ham
URGENT: Your payment was declined.,spam
Can you send me the meeting notes?,ham
This is not a drill! Big savings await.,spam
Thanks for your help earlier.,ham
Win a new smartphone! Enter now.,spam
Reminder: Dentist appointment at 3pm.,ham
Hurry! Offer expires tonight.,spam
Let's grab lunch sometime this week.,ham
New message received from HR.,ham
You are a lucky winner! Claim your cash.,spam
Please call me when you're free.,ham
You've been pre-approved for a loan.,spam
Don't forget our anniversary!,ham
Special offer just for you: 70% off.,spam
Congrats on your recent achievement!,ham
Download the app and start earning rewards.,spam
Your subscription is about to expire.,spam
Meet me at the café at 5?,ham
"Earn money from home, no experience needed.",spam
Report available: Q2 financials.,ham
Can we reschedule our meeting?,ham
Click to see who viewed your profile.,spam
How was your weekend?,ham
Urgent: Verify your account information.,spam
I'll call you back in 10 minutes.,ham
Join now and get free membership.,spam
Are you free for a video call tomorrow?,ham
Your parcel is waiting for collection.,ham
Important update regarding your account.,spam
Wishing you a happy birthday!,ham
Instant approval for your application.,spam
Looking forward to our trip next month.,ham
Biggest sale of the year starts now.,spam
Lunch at the new place tomorrow?,ham
You've received a secure message.,ham
Check out our latest products.,spam
Best wishes for your exam.,ham
Download now for exclusive content.,spam
Do you want to go hiking this weekend?,ham
Claim your free trial today.,spam
Family dinner at my place on Sunday.,ham
Click here to confirm your booking.,spam
Appointment confirmed for Tuesday.,ham
Important: Your invoice is attached.,spam
Happy holidays to you and your family!,ham
Act now to avoid late fees.,spam
Please review and sign the contract.,ham
Your feedback is important to us.,ham
50% cashback on your next purchase.,spam
"Movie night at my house, interested?",ham
You have a new friend request.,ham
"Flash deal: Buy two, get one free.",spam
Let's meet at the park at noon.,ham
Congratulations on your promotion!,ham
Security alert: New device login.,spam
Book your tickets now and save.,spam
Hope you enjoyed your meal yesterday.,ham
Low balance alert on your card.,spam
Your application has been approved.,ham
Don’t forget to water the plants.,ham
Thank you for shopping with us.,ham
Exclusive invite to our VIP event.,spam
Let’s go for a run this evening.,ham
Download your free e-book today.,spam
Free entry to the music festival.,spam
Will you be at the conference next week?,ham
Sign up for our newsletter.,spam
Password changed successfully.,ham
Sale: All electronics up to 60% off.,spam
Join the webinar and learn new skills.,ham
Get started with your free account.,spam
Congrats! Your resume stood out.,ham
See you at the team meeting tomorrow.,ham
Your flight details have changed.,ham
Big rewards await you. Join now.,spam
Share your feedback and win a prize.,spam
Call customer service for assistance.,ham
Don't miss the football game tonight.,ham
Enjoy 1-month free streaming service.,spam
Happy Friday! Any plans for the weekend?,ham
